gene1,gene2,gene1_id,gene2_id,score
ADRA2A,DRD4,209,212,1.66255273292305
FRS2,PDPK1,425,263,1.66250426498278
HIF1A,BCL2,632,219,1.66247365160792
PDIA6,CRBN,599,53,1.66238426423178
RANBP2,TOP2B,631,99,1.66212967401573
NLK,RANBP2,363,631,1.6621296740001
GRIA4,VIM,157,413,1.66209661384257
ABCC5,ACADSB,353,17,1.6620104984846
HTR1A,OPRK1,73,34,1.66199774170962
EGFR,L1CAM,25,188,1.66193073953582
KIT,BTK,46,235,1.66175465733755
HSP90AB1,NR3C2,301,32,1.66172578999813
ETS1,PLEC,437,626,1.66170750053705
PCBP1,ZNF622,537,499,1.66162662717524
VCAM1,SF1,162,507,1.66160323860829
ACTB,SHBG,286,38,1.66150842137755
MAPK14,FYN,245,234,1.66150702610733
JUN,ALDH5A1,69,20,1.66150150893629
FGFR1,ITK,47,257,1.66144676411995
NR3C1,HDAC1,36,205,1.66130858163026
KDR,WNK1,43,430,1.66129971193489
EPHA2,CD44,229,313,1.66128660005432
FRS2,BRAF,425,40,1.66107967782427
TAOK1,RANBP2,555,631,1.66104474515342
HDAC1,TBL1XR1,205,477,1.66098422605849
DRD1,PIK3CG,215,262,1.66098407414146
DDX5,MAP4K4,396,549,1.66063280886043
FGR,CCT5,240,464,1.66060338672138
FGR,HNRNPA2B1,240,392,1.66060338672138
FNDC3A,HNRNPD,372,530,1.66057381588609
DDX6,CPEB4,443,623,1.66055135937927
U2SURP,SF1,402,507,1.66049668613607
GADD45A,RARA,482,112,1.66042403935553
TUBB,ARL2,29,496,1.66036241338246
RAB5A,ARHGAP12,446,393,1.66034541057501
ALK,NLK,328,363,1.66031600700847
POM121,G3BP2,551,385,1.66027834932997
HCK,BTK,275,235,1.66027027517966
ESR1,CBR1,31,295,1.66007784672713
DRD3,HTR1D,207,208,1.66003459250781
MAPK8,HDAC9,98,18,1.659862728
MAPK3,ADAM15,201,368,1.65982686146038
CEBPA,HDAC1,418,205,1.65979716586318
FGFR4,CD44,341,313,1.65977043989683
CHRM3,ADRA1D,298,95,1.65977043984216
GADD45A,FTL,482,589,1.65974659397593
ADRA2B,HTR1B,211,74,1.65963893014573
ADRA2B,P2RY12,211,123,1.65963893014573
NR3C1,ATP1B1,36,594,1.65955846512123
PRKAB1,TUBB1,26,218,1.65954447926626
HDAC6,FNTB,268,299,1.65941346147073
E2F1,POLA1,400,194,1.65940995912361
FLT3,IKBKG,44,300,1.65938646544485
ADRB1,PIK3CG,70,262,1.65926434289926
FGR,LYN,240,243,1.65924318433968
ANXA1,KMT2B,190,399,1.65911951655599
GRB2,JAK1,565,331,1.65905302308324
RAD21,KIF3B,552,504,1.65892185408854
DRD3,GPER1,207,127,1.65879478551837
EGFR,PIK3CB,25,304,1.65873810148238
DRD4,HTR1D,212,208,1.6587022592626
MAP2K1,WNK1,342,430,1.65865519149126
ESRRB,MED1,253,535,1.65849267123644
CDK6,MAP2K1,349,342,1.65827826768576
LDLR,RAB5A,398,446,1.65818984000505
STAT5B,YES1,232,231,1.65814894656958
ANXA2,VCAM1,373,162,1.65811050597369
ITK,BTK,257,235,1.65805405483765
MAP3K2,MAP2K2,516,343,1.65787944700857
HDAC6,G3BP1,268,420,1.65785088092229
ERBB4,ZAP70,347,265,1.65763337298966
G3BP1,ZMYND11,420,526,1.65751412644441
AKT1,SOX4,203,560,1.65749442009374
DRD4,GPER1,212,127,1.65745499787448
ITK,LYN,257,243,1.65740996077235
ADRA2C,P2RY12,210,123,1.65725623194236
ADRA2A,P2RY12,209,123,1.65725623194236
ADRA2C,HTR1B,210,74,1.65725623194236
ADRA2A,HTR1B,209,74,1.65725623194236
GSPT1,BECN1,588,129,1.65725185948344
PML,MAPK1,206,202,1.65705118374105
NCOA2,MED13,252,528,1.65692231306171
FLT3,SRC,44,228,1.65688377120399
PTK2B,JAK2,250,330,1.65687991285435
NR3C1,RXRB,36,105,1.65676766904542
A2M,RHOC,59,583,1.65674148848982
ESRRG,MED1,97,535,1.65667075273527
DAB2,AP2B1,403,475,1.65665674085891
ABL2,HSPA2,233,291,1.65660658380101
GRIA1,BECN1,152,129,1.6565088560475
CDK2,YES1,261,231,1.65649835275927
ERBB4,U2SURP,347,402,1.65644774053836
DRD3,HTR1A,207,73,1.65636558025072
EGFR,HSP90AA1,25,290,1.65622004566036
DRD3,OPRK1,207,34,1.65606648225617
KDR,PDGFRB,43,45,1.65605948250264
MAPK14,KMT2C,245,435,1.65597154877998
EPHA2,MET,229,329,1.65592494247343
SSRP1,VCAM1,628,162,1.65581498377803
HIF1A,KPNA1,632,476,1.65577603607891
DDX5,PTK6,396,306,1.65573657971454
FYN,KITLG,234,562,1.65569689665082
EGFR,ABL1,25,80,1.65569436664183
FGFR4,PIK3CB,341,304,1.65569150080845
PML,TOP2B,206,99,1.65567431438341
FGFR2,CD44,338,313,1.65565744164072
NCOA2,TBL1XR1,252,477,1.65555825263437
PDIA6,PRKAB1,599,26,1.65552699645633
PSMB2,PSMB8,336,334,1.65535195399461
FGFR3,MAPK11,308,340,1.6552523102077
FGF1,PDPK1,309,263,1.65521682999752
SIN3A,SYT1,456,595,1.65515996748609
DRD4,HTR1A,212,73,1.65501108782614
NCAN,MAPT,316,222,1.65500196838247
MAPT,TLE4,222,501,1.65500196838247
DHFR,E2F1,63,400,1.65498232322975
HMGCR,RXRA,81,118,1.6549645422165
NLK,TCF4,363,614,1.65495293448347
